split,turbine_id,lead_hour,n,expected,excluded,missing_observed,missing_persistence,origins,first_origin,last_origin,model_mae,model_rmse,persistence_mae,persistence_rmse,power_curve_mae,power_curve_rmse,forecast_wind_mean_ms,observed_wind_mean_ms
all,turbine_1,1,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.46520666666666666,0.46520666666666666,0.1433333333333332,0.1433333333333332,0.8466666666666667,0.8466666666666667,2.8299999,10.046666666666667
all,turbine_1,2,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.3181843999999999,0.3181843999999999,0.31499999999999995,0.31499999999999995,0.6731891663148911,0.6731891663148911,3.1099999,8.726666666666667
all,turbine_1,3,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.33859866666666666,0.33859866666666666,0.2933333333333332,0.2933333333333332,0.6966666666666667,0.6966666666666667,2.47,8.841666666666667
all,turbine_1,4,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.12089006666666663,0.12089006666666663,0.5233333333333332,0.5233333333333332,0.4666666666666666,0.4666666666666666,2.3499999,7.726666666666667
all,turbine_1,5,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.0817487666666667,0.0817487666666667,0.5883333333333332,0.5883333333333332,0.40166666666666667,0.40166666666666667,2.8099999,7.323333333333333
all,turbine_1,6,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.3943005666666667,0.3943005666666667,0.2883333333333332,0.2883333333333332,0.7011856984126984,0.7011856984126984,3.03,8.89
all,turbine_1,7,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.39989063333333336,0.39989063333333336,0.2766666666666665,0.2766666666666665,0.7133333333333334,0.7133333333333334,2.5699999,9.02
all,turbine_1,8,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.2586654666666666,0.2586654666666666,0.43833333333333324,0.43833333333333324,0.5495124632927277,0.5495124632927277,3.1300001,7.881666666666667
all,turbine_1,9,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.27355566666666664,0.27355566666666664,0.4183333333333332,0.4183333333333332,0.5716666666666667,0.5716666666666667,2.8900001,8.131666666666666
all,turbine_1,10,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.48645123333333334,0.48645123333333334,0.19166666666666654,0.19166666666666654,0.7983333333333333,0.7983333333333333,2.5699999,9.643333333333333
all,turbine_1,11,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.6171747666666667,0.6171747666666667,0.04833333333333312,0.04833333333333312,0.9416666666666668,0.9416666666666668,2.4200001,10.716666666666667
all,turbine_1,12,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.6243825999999999,0.6243825999999999,0.029999999999999916,0.029999999999999916,0.96,0.96,2.3,11.553333333333333
all,turbine_1,13,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.657713,0.657713,0.014999999999999902,0.014999999999999902,0.975,0.975,2.9000001,11.766666666666666
all,turbine_1,14,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.6678409333333334,0.6678409333333334,0.0066666666666664876,0.0066666666666664876,0.9833333333333334,0.9833333333333334,2.7,12.433333333333332
all,turbine_1,15,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.6289442999999999,0.6289442999999999,0.04499999999999993,0.04499999999999993,0.945,0.945,2.5,11.431666666666667
all,turbine_1,16,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.6349433333333334,0.6349433333333334,0.026666666666666505,0.026666666666666505,0.9633333333333334,0.9633333333333334,2.4000001,11.25
all,turbine_1,17,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.5786963,0.5786963,0.05999999999999983,0.05999999999999983,0.93,0.93,2.5999999,11.008333333333333
all,turbine_1,18,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.5401898666666666,0.5401898666666666,0.02833333333333332,0.02833333333333332,0.9616666666666666,0.9616666666666666,1.65,11.281666666666666
