split,turbine_id,lead_hour,n,expected,excluded,missing_observed,missing_persistence,origins,first_origin,last_origin,model_mae,model_rmse,persistence_mae,persistence_rmse,power_curve_mae,power_curve_rmse,forecast_wind_mean_ms,observed_wind_mean_ms
all,turbine_1,1,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.4612051,0.4612051,0.1433333,0.1433333,0.8466667,0.8466667,2.8299999,10.0466667
all,turbine_1,2,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.3138013,0.3138013,0.3150000,0.3150000,0.6731892,0.6731892,3.1099999,8.7266667
all,turbine_1,3,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.3352282,0.3352282,0.2933333,0.2933333,0.6966667,0.6966667,2.4700000,8.8416667
all,turbine_1,4,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.1204252,0.1204252,0.5233333,0.5233333,0.4666667,0.4666667,2.3499999,7.7266667
all,turbine_1,5,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.0845731,0.0845731,0.5883333,0.5883333,0.4016667,0.4016667,2.8099999,7.3233333
all,turbine_1,6,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.3991388,0.3991388,0.2883333,0.2883333,0.7011857,0.7011857,3.0300000,8.8900000
all,turbine_1,7,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.4048261,0.4048261,0.2766667,0.2766667,0.7133333,0.7133333,2.5699999,9.0200000
all,turbine_1,8,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.2624931,0.2624931,0.4383333,0.4383333,0.5495125,0.5495125,3.1300001,7.8816667
all,turbine_1,9,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.2767978,0.2767978,0.4183333,0.4183333,0.5716667,0.5716667,2.8900001,8.1316667
all,turbine_1,10,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.4905806,0.4905806,0.1916667,0.1916667,0.7983333,0.7983333,2.5699999,9.6433333
all,turbine_1,11,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.6228214,0.6228214,0.0483333,0.0483333,0.9416667,0.9416667,2.4200001,10.7166667
all,turbine_1,12,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.6307768,0.6307768,0.0300000,0.0300000,0.9600000,0.9600000,2.3000000,11.5533333
all,turbine_1,13,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.6639880,0.6639880,0.0150000,0.0150000,0.9750000,0.9750000,2.9000001,11.7666667
all,turbine_1,14,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.6724872,0.6724872,0.0066667,0.0066667,0.9833333,0.9833333,2.7000000,12.4333333
all,turbine_1,15,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.6317666,0.6317666,0.0450000,0.0450000,0.9450000,0.9450000,2.5000000,11.4316667
all,turbine_1,16,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.6364914,0.6364914,0.0266667,0.0266667,0.9633333,0.9633333,2.4000001,11.2500000
all,turbine_1,17,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.5795098,0.5795098,0.0600000,0.0600000,0.9300000,0.9300000,2.5999999,11.0083333
all,turbine_1,18,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.5390902,0.5390902,0.0283333,0.0283333,0.9616667,0.9616667,1.6500000,11.2816667
all,turbine_1,19,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.2907124,0.2907124,0.2433333,0.2433333,0.7466667,0.7466667,2.0599999,9.4783333
all,turbine_1,20,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.2654676,0.2654676,0.2400000,0.2400000,0.7500000,0.7500000,1.8400000,9.2500000
all,turbine_1,21,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.0586098,0.0586098,0.4500000,0.4500000,0.5400000,0.5400000,1.8099999,8.0483333
all,turbine_1,22,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.0041376,0.0041376,0.5283333,0.5283333,0.4616667,0.4616667,1.5300000,7.3933333
all,turbine_1,23,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.1547687,0.1547687,0.7000000,0.7000000,0.2900000,0.2900000,1.5200000,6.6200000
all,turbine_1,24,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.2798368,0.2798368,0.8350000,0.8350000,0.1550000,0.1550000,1.4400001,5.5966667
all,turbine_2,1,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.3973478,0.3973478,0.1516667,0.1516667,0.8383333,0.8383333,2.8299999,10.0583333
all,turbine_2,2,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.2624406,0.2624406,0.3066667,0.3066667,0.6815225,0.6815225,3.1099999,8.9983333
all,turbine_2,3,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.2259523,0.2259523,0.3250000,0.3250000,0.6650000,0.6650000,2.4700000,8.8566667
all,turbine_2,4,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.0612846,0.0612846,0.4883333,0.4883333,0.5016667,0.5016667,2.3499999,8.1583333
all,turbine_2,5,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.0088964,0.0088964,0.5733333,0.5733333,0.4166667,0.4166667,2.8099999,7.4500000
all,turbine_2,6,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.3833507,0.3833507,0.2300000,0.2300000,0.7595190,0.7595190,3.0300000,9.2766667
all,turbine_2,7,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.3177974,0.3177974,0.3050000,0.3050000,0.6850000,0.6850000,2.5699999,9.0200000
all,turbine_2,8,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.1394859,0.1394859,0.4950000,0.4950000,0.4928458,0.4928458,3.1300001,7.6450000
all,turbine_2,9,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.1482734,0.1482734,0.4666667,0.4666667,0.5233333,0.5233333,2.8900001,8.0616667
all,turbine_2,10,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.3946220,0.3946220,0.1916667,0.1916667,0.7983333,0.7983333,2.5699999,9.7433333
all,turbine_2,11,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.5213534,0.5213534,0.0433333,0.0433333,0.9466667,0.9466667,2.4200001,10.9616667
all,turbine_2,12,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.5228300,0.5228300,0.0183333,0.0183333,0.9716667,0.9716667,2.3000000,11.9500000
all,turbine_2,13,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.5293035,0.5293035,0.0133333,0.0133333,0.9766667,0.9766667,2.9000001,12.0816667
all,turbine_2,14,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.5158331,0.5158331,0.0050000,0.0050000,0.9850000,0.9850000,2.7000000,12.5066667
all,turbine_2,15,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.4776572,0.4776572,0.0166667,0.0166667,0.9733333,0.9733333,2.5000000,11.8166667
all,turbine_2,16,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.4426056,0.4426056,0.0233333,0.0233333,0.9666667,0.9666667,2.4000001,11.5083333
all,turbine_2,17,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.4299092,0.4299092,0.0216667,0.0216667,0.9683333,0.9683333,2.5999999,11.7033333
all,turbine_2,18,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.4098543,0.4098543,0.0050000,0.0050000,0.9850000,0.9850000,1.6500000,11.5300000
all,turbine_2,19,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.2039961,0.2039961,0.2016667,0.2016667,0.7883333,0.7883333,2.0599999,9.8916667
all,turbine_2,20,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.2083868,0.2083868,0.1700000,0.1700000,0.8200000,0.8200000,1.8400000,9.8700000
all,turbine_2,21,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.0322680,0.0322680,0.3866667,0.3866667,0.6033333,0.6033333,1.8099999,8.5366667
all,turbine_2,22,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.0717234,0.0717234,0.4116667,0.4116667,0.5783333,0.5783333,1.5300000,8.2050000
all,turbine_2,23,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.3785692,0.3785692,0.7266667,0.7266667,0.2633333,0.2633333,1.5200000,6.4933333
all,turbine_2,24,1,1,0,0,0,1,2026-01-30T00:00:00+00:00,2026-01-30T00:00:00+00:00,0.4685201,0.4685201,0.8450000,0.8450000,0.1450000,0.1450000,1.4400001,5.5233333
