split,turbine_id,lead_hour,n,expected,excluded,missing_observed,missing_persistence,origins,first_origin,last_origin,model_mae,model_rmse,persistence_mae,persistence_rmse,power_curve_mae,power_curve_rmse,forecast_wind_mean_ms,observed_wind_mean_ms
development,turbine_2,2,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.3082181,0.3892375,0.1055556,0.1440122,0.3738967,0.5239843,3.1966667,6.8024074
development,turbine_2,3,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.3124973,0.3813586,0.0916667,0.1394710,0.3606892,0.5064960,3.2911111,6.5994444
development,turbine_2,4,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.2957505,0.3568128,0.1057407,0.1815800,0.3459621,0.4740803,3.2577777,6.3055556
development,turbine_2,5,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.2929785,0.3628119,0.1714815,0.2904828,0.2838138,0.4170820,3.2111111,6.1059259
development,turbine_2,6,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.3177391,0.4252241,0.2033333,0.3354102,0.3402611,0.4958565,3.4366667,7.0161111
development,turbine_2,7,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.3032691,0.3842104,0.1805556,0.3078003,0.2850989,0.4351364,3.5888889,6.6268519
development,turbine_2,8,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.2682616,0.3651206,0.2427778,0.3763843,0.2283929,0.3870962,3.6722223,6.7194444
development,turbine_2,9,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.2836537,0.3634806,0.2161111,0.3360110,0.2795236,0.4280785,3.6444444,6.8037037
development,turbine_2,10,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.3092685,0.3881333,0.2057407,0.3294229,0.2953961,0.4580697,3.4444444,6.9192593
development,turbine_2,11,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.2435620,0.3508796,0.2424074,0.3634518,0.3149902,0.4672012,3.2644444,6.9140741
